pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_met,st_meterr1,st_meterr2,st_metlim
0.271000,,,0,0.280,0.060,-0.060,0
1.000000,,,0,-0.190,0.010,-0.010,0
1.640000,,,0,-0.070,0.031,-0.031,0
0.511000,,,0,0.000,,,0
1.030000,,,0,0.110,0.030,-0.030,0
7.250000,,,0,-0.150,,,0
0.877000,,,0,,,,
27.900000,,,0,,,,
0.399000,,,0,-0.250,0.010,-0.010,0
8.940000,,,0,-0.060,,,0
9.060000,,,0,0.080,0.030,-0.030,0
4.700000,1.700000,-1.700000,0,-0.311,0.079,-0.079,0
1.010000,0.290000,-0.290000,0,-0.311,0.079,-0.079,0
0.625000,,,0,0.000,0.010,-0.010,0
10.100000,,,0,0.016,0.009,-0.009,0
10.100000,,,0,0.040,0.010,-0.020,0
5.020000,,,0,0.170,0.030,-0.030,0
0.415000,,,0,0.314,,,0
1.050000,,,0,0.296,0.058,-0.058,0
0.352000,,,0,0.180,0.012,-0.012,0
4.230000,,,0,-0.280,0.040,-0.040,0
3.060000,,,0,-0.280,0.040,-0.040,0
2.340000,,,0,-0.280,0.040,-0.040,0
1.820000,,,0,-0.280,0.040,-0.040,0
3.160000,,,0,-0.280,0.040,-0.040,0
2.720000,,,0,0.040,0.060,-0.060,0
1.790000,,,0,0.200,0.030,-0.030,0
0.986000,,,0,0.260,,,0
0.658000,,,0,0.190,0.030,-0.030,0
0.559000,,,0,0.100,,,0
1.180000,,,0,0.100,0.050,-0.050,0
0.907000,,,0,0.100,0.050,-0.050,0
2.270000,,,0,0.050,0.020,-0.020,0
0.345000,,,0,0.240,,,0
0.269000,,,0,-0.210,0.100,-0.080,0
1.980000,,,0,-0.070,0.080,-0.080,0
2.280000,,,0,-0.070,0.080,-0.080,0
20.900000,,,0,0.140,0.060,-0.060,0
10.200000,,,0,0.190,0.050,-0.050,0
1.730000,,,0,0.080,0.050,-0.050,0
2.900000,0.750000,-0.590000,0,0.140,0.020,-0.020,0
1.710000,,,0,0.140,0.020,-0.020,0
28.200000,,,0,0.090,0.100,-0.100,0
6.670000,,,0,0.187,0.025,-0.025,0
7.220000,,,0,-0.430,,,0
18.900000,,,0,-0.427,0.009,-0.009,0
3.580000,,,0,0.070,0.040,-0.040,0
3.670000,,,0,0.070,,,0
4.070000,,,0,-0.090,0.070,-0.070,0
2.520000,,,0,0.070,0.020,-0.020,0
19.400000,,,0,0.070,0.020,-0.020,0
0.518000,,,0,-0.150,0.080,-0.080,0
0.273000,,,0,-0.240,0.060,-0.060,0
0.618000,,,0,-0.240,0.060,-0.060,0
5.370000,,,0,0.130,0.080,-0.080,0
9.920000,,,0,0.000,0.030,-0.030,0
0.774000,,,0,-0.050,,,0
0.277000,,,0,0.180,,,0
0.537000,,,0,-0.330,0.030,-0.030,0
0.747000,,,0,0.210,0.030,-0.030,0
0.381000,,,0,0.151,0.058,-0.058,0
